@RELATION P2BotAgent

@ATTRIBUTE celda[8][10] NUMERIC
@ATTRIBUTE celda[9][10] NUMERIC
@ATTRIBUTE celda[9][11] NUMERIC
@ATTRIBUTE celda[10][10] NUMERIC
@ATTRIBUTE celda[11][10] NUMERIC
@ATTRIBUTE celda[10][11] NUMERIC
@ATTRIBUTE celda[11][11] NUMERIC
@ATTRIBUTE celda[10][12] NUMERIC
@ATTRIBUTE celda[11][12] NUMERIC
@ATTRIBUTE marioMode NUMERIC
@ATTRIBUTE coins NUMERIC
@ATTRIBUTE coinsGained NUMERIC
@ATTRIBUTE distancePassedCells NUMERIC
@ATTRIBUTE foso {1, 0}
@ATTRIBUTE obstaculo {1, 0}
@ATTRIBUTE enemys {1, 0}
@ATTRIBUTE coins_24 NUMERIC
@ATTRIBUTE timeLeft NUMERIC
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE ACTION {PARADO, SALTA, AVANZA, JUMP-ADVANCE}
@ATTRIBUTE cluster STRING
@data
0, 0, 0, 0, -60, 0, -60, -85, -60, 2, 0, 0, 13, 0, 0, 0, 0, 198, -1, AVANZA, no_danger
0, 0, 0, 0, -60, -85, -60, -85, -60, 2, 0, 0, 14, 0, 0, 0, 0, 198, -1, AVANZA, no_danger
0, 0, 0, -85, -60, -85, -60, 0, -60, 2, 0, 0, 15, 0, 0, 0, 0, 198, -1, AVANZA, no_danger
0, 0, 0, -85, -60, -85, -60, 0, -60, 2, 0, 0, 15, 0, 0, 0, 0, 198, -1, AVANZA, no_danger
0, 0, 0, -85, -60, 0, -60, 0, -60, 2, 0, 0, 16, 0, 0, 0, 0, 198, -1, AVANZA, no_danger
0, 0, 0, 0, -60, 0, -60, 0, -60, 2, 0, 0, 17, 0, 0, 0, 0, 197, -1, AVANZA, no_danger
0, 0, 0, 0, -60, 0, -60, 0, -60, 2, 0, 0, 17, 0, 0, 0, 0, 197, -1, AVANZA, no_danger
0, 0, 0, -60, -60, -60, -60, -60, -60, 2, 2, 0, 18, 0, 0, 0, 0, 197, -1, AVANZA, no_danger
0, 0, 0, -60, -60, -60, -60, -60, -60, 2, 4, 0, 19, 0, 0, 0, 0, 197, -1, AVANZA, no_danger
0, 0, 0, -60, -60, -60, -60, -60, -60, 2, 4, 0, 19, 0, 0, 0, 0, 197, -1, AVANZA, no_danger
0, 0, 0, -60, -60, -60, -60, -60, -60, 2, 6, 0, 20, 0, 0, 0, 0, 197, -1, AVANZA, no_danger
0, 0, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 21, 0, 1, 0, 0, 197, -1, JUMP-ADVANCE, peligro
0, 0, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 21, 0, 1, 0, 0, 197, -1, JUMP-ADVANCE, peligro
0, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 197, -1, JUMP-ADVANCE, peligro
0, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 197, -1, AVANZA, peligro
80, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 1, 0, 197, -1, AVANZA, peligro
80, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 1, 0, 197, -1, AVANZA, peligro
80, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 1, 0, 197, -1, JUMP-ADVANCE, peligro
-60, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 197, -1, AVANZA, peligro
-60, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 197, -1, AVANZA, peligro
-60, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 196, -1, JUMP-ADVANCE, peligro
-60, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 196, -1, AVANZA, peligro
-60, -60, -60, -60, -60, -60, -60, -60, -60, 2, 8, 0, 22, 0, 1, 0, 0, 196, -1, JUMP-ADVANCE, peligro
